ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
PS00973,PS00973,10,0.6590815591535893,1.0960688426159224,0.26973026973026976,0.8824508824508825,0.8824508824508825,787,"tags=60%, list=33%, signal=40%",P45974/P54578/Q96K76/Q9UPU5/Q93009/Q93008
PS50235,PS50235,10,0.6590815591535893,1.0960688426159224,0.26973026973026976,0.8824508824508825,0.8824508824508825,787,"tags=60%, list=33%, signal=40%",P45974/P54578/Q96K76/Q9UPU5/Q93009/Q93008
PS50030,PS50030,11,0.6503149448052227,1.0929584692475889,0.25374625374625376,0.8824508824508825,0.8824508824508825,725,"tags=55%, list=30%, signal=38%",P45974/P54727/Q9NRR5/Q9UMX0/Q9UPU5/Q9Y5A7
PS50003,PS50003,25,0.618473710263227,1.0923552630952718,0.15784215784215785,0.8824508824508825,0.8824508824508825,757,"tags=60%, list=32%, signal=41%",O15020/O75116/P19174/P22059/Q12802/Q13464/Q6WCQ1/Q8IYI6/Q8NEU8/Q92974/Q9UH65/Q9ULH1/O14654/P50570/Q70E73
PS00018,PS00018,28,0.6091285459455724,1.0837162641482727,0.16983016983016982,0.8824508824508825,0.8824508824508825,741,"tags=50%, list=31%, signal=35%",O43707/P12814/P14314/P17655/P19174/P43304/Q3T906/Q96AY3/Q96D71/Q9BPX6/Q9H223/P04632/Q9H4M9/P80303
PS00108,PS00108,27,0.605679365880769,1.0749923141298023,0.1968031968031968,0.8824508824508825,0.8824508824508825,544,"tags=41%, list=23%, signal=32%",O75116/P11802/P15735/P19525/P49137/P49841/P51956/Q00534/Q13464/Q96SB4/Q9H2G2
PF00069,PF00069,30,0.5978409703060821,1.0688104028937901,0.2037962037962038,0.8824508824508825,0.8824508824508825,594,"tags=43%, list=25%, signal=33%",O75116/P11802/P15735/P19525/P49137/P49841/P51956/P53778/Q00534/Q13464/Q96SB4/Q9H2G2/Q9P289
PS50084,PS50084,19,0.6147778764321343,1.0681747366401848,0.24275724275724275,0.8824508824508825,0.8824508824508825,746,"tags=37%, list=31%, signal=26%",O00425/O75179/Q06787/Q9Y6M1/Q00341/Q96AE4/Q9NZI8
PF00168,PF00168,10,0.637397202269155,1.0600072238024396,0.33966033966033965,0.8824508824508825,0.8824508824508825,505,"tags=40%, list=21%, signal=32%",A0FGR8/P19174/Q86YS7/Q99829
PF12796,PF12796,17,0.6098166349489453,1.0536453801840084,0.2917082917082917,0.8824508824508825,0.8824508824508825,618,"tags=29%, list=26%, signal=22%",O75179/Q12955/Q53LP3/Q9ULH1/Q9ULT8
PS50089,PS50089,29,0.5869510866354453,1.0476032525705252,0.2707292707292707,0.8824508824508825,0.8824508824508825,718,"tags=38%, list=30%, signal=27%",O15164/O75150/P35226/P35227/Q7Z569/Q8ND24/Q8NEZ4/Q96K19/Q99942/Q9Y4X5/Q5VTR2
PF00595,PF00595,26,0.591370244664498,1.0463824218564663,0.2857142857142857,0.8824508824508825,0.8824508824508825,812,"tags=38%, list=34%, signal=26%",O14910/P57105/Q12959/Q53GG5/Q6ZWJ1/Q96JY6/Q9NZW5/Q9ULJ8/Q96HC4/Q5TCQ9
PF00013,PF00013,20,0.5994804183307925,1.0455223591982046,0.3016983016983017,0.8824508824508825,0.8824508824508825,746,"tags=35%, list=31%, signal=24%",O00425/O75179/Q06787/Q9Y6M1/Q00341/Q96AE4/Q9NZI8
PS50222,PS50222,31,0.5834011853480705,1.045022498061392,0.2757242757242757,0.8824508824508825,0.8824508824508825,888,"tags=55%, list=37%, signal=35%",O43707/P12814/P14314/P17655/P19174/P43304/Q3T906/Q96AY3/Q96D71/Q9BPX6/Q9H223/Q9UH65/P04632/Q9H4M9/P80303/Q8NF37/O43852
PS50297,PS50297,19,0.597566058031872,1.0382692532264066,0.32667332667332666,0.8824508824508825,0.8824508824508825,618,"tags=26%, list=26%, signal=20%",O75179/Q12955/Q53LP3/Q9ULH1/Q9ULT8
PS50103,PS50103,13,0.6111926648681115,1.0380140042359332,0.37462537462537465,0.8824508824508825,0.8824508824508825,684,"tags=38%, list=29%, signal=28%",Q01081/Q96G46/Q96QC0/Q9NXH9/Q9NW64
PF00412,PF00412,13,0.6110728877783793,1.0378105818068446,0.37462537462537465,0.8824508824508825,0.8824508824508825,829,"tags=54%, list=35%, signal=35%",Q53GG5/Q96JY6/Q9UGI8/Q9UGP4/Q9UHB6/Q96HC4/Q15942
PS00478,PS00478,13,0.6110728877783793,1.0378105818068446,0.37462537462537465,0.8824508824508825,0.8824508824508825,829,"tags=54%, list=35%, signal=35%",Q53GG5/Q96JY6/Q9UGI8/Q9UGP4/Q9UHB6/Q96HC4/Q15942
PS50023,PS50023,13,0.6110728877783793,1.0378105818068446,0.37462537462537465,0.8824508824508825,0.8824508824508825,829,"tags=54%, list=35%, signal=35%",Q53GG5/Q96JY6/Q9UGI8/Q9UGP4/Q9UHB6/Q96HC4/Q15942
PS50088,PS50088,18,0.5986844631940595,1.0371825077186778,0.34065934065934067,0.8824508824508825,0.8824508824508825,618,"tags=28%, list=26%, signal=21%",O75179/Q12955/Q53LP3/Q9ULH1/Q9ULT8
PS50106,PS50106,27,0.5794472227330913,1.0284340956144675,0.35064935064935066,0.8824508824508825,0.8824508824508825,849,"tags=41%, list=36%, signal=27%",O14910/P57105/Q12959/Q53GG5/Q6ZWJ1/Q96JY6/Q9NZW5/Q9ULJ8/Q96HC4/Q5TCQ9/O43464
